"plot_id","subject_id","n_images","mean"
"P01","liuqianwen",125,2.392
"P02","邓岩",125,2.792
"P03","wangxiangronng",99,3.21212121212121
"P04","夏至",125,4.12
"P05","星辰",125,4.12
"P06","太贵了",125,4.168
"P07","Esterla.",125,4.496
"P08","Mc2255o",125,4.896
"P09","张佳炫",125,5.032
"P10","JK",125,5.52
"P11","wxxwhao",125,5.712
"P12","lqy1910",93,6.05376344086022
"P13","Midi",125,6.728
"P14","-H-Yue7",123,7.1869918699187
