"distribution","n","mean","sd","median","q25","q75","min","max","W","p_value","note"
"Subject means: all available",14,4.74491975163572,1.41763818550576,4.696,4.12,5.664,2.392,7.1869918699187,0.978275969888772,0.963584494274266,"No significant evidence against normality; not proof of normality"
"Image means: all available",125,4.74178754578755,1.37169512479482,4.92857142857143,4,5.61538461538461,1.07692307692308,7.78571428571429,0.977706852865028,0.0366244819335387,"Evidence against normality"
"Subject means: complete only",11,4.54327272727273,1.25110104235502,4.496,4.12,5.276,2.392,6.728,0.968804808006538,0.874214317328994,"No significant evidence against normality; not proof of normality"
"Image means: complete subjects only",125,4.54327272727273,1.5526168345487,4.72727272727273,3.63636363636364,5.54545454545455,1,8.27272727272727,0.976509525787693,0.0281477417665534,"Evidence against normality"
